"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"71" 0.779986512380605 0.865408003572736 0 48 55 NA 1 1 0 5 50 20 2 6 8
"72" NA NA NA NA NA NA NA NA NA 5 NA NA 1 2 16
"73" NA 1.08350172406266 NA NA 9999 2 1 1 0 6 100 50 1 11 1
"74" NA NA NA NA NA NA NA NA NA 6 41 20 2 2 18
"75" NA 0.363300390812358 NA 9999 9999 NA 1 0 0 6 71 30 2 5 9
"76" 0.304233910284398 0.625485906576915 0 31 22 NA 1 0 0 6 41 20 1 1 13
"77" 0.694228441929958 0.507525965701889 0 27 NA NA 1 0 0 7 71 30 1 8 16
"78" 0.958160282745532 0.675820726789847 0 51 54 3 1 0 0 7 20 11 1 8 9
"79" NA NA NA NA NA NA NA NA NA 7 71 30 2 8 16
"80" 0.319865193266639 0.402400302345208 0 100 53 3 1 1 0 5 133 70 1 11 10
"81" 1.11266394725498 NA 0 27 44 1 NA NA NA 6 41 20 2 1 15
"82" NA NA NA NA NA NA NA NA NA 5 43 20 1 3 3
"83" 0.246336273140381 NA 0 NA NA NA NA NA NA 7 71 30 1 9 18
"84" 0.779630159499897 0.652120552898496 0 55 61 NA 1 1 0 4 121 60 2 8 9
"85" NA NA NA NA NA NA NA NA NA 5 71 30 1 7 16
"86" 0.274655536821475 0.146161175435918 0 87 56 3 1 1 0 7 41 20 1 10 5
"87" 0.179247594830156 0.120183081226642 0 51 9999 NA 1 0 0 6 134 70 1 3 11
"88" NA 0.594307693404527 NA 52 100 NA 1 1 0 7 91 40 1 5 5
"89" 0.447452343641768 0.321775330949744 0 48 50 NA 1 1 0 6 126 60 1 1 18
"90" 0.638388916456279 0.500511891290116 0 85 51 2 1 1 0 6 71 30 1 4 1
"91" NA NA NA NA NA NA NA NA NA 5 60 20 1 5 18
"92" NA NA NA NA NA NA NA NA NA 5 91 40 2 8 18
"93" 0.198263976783562 0.275416007019682 0 64 52 NA 1 0 0 6 71 30 2 11 18
"94" 1.15425738310799 NA 0 NA 48 2 NA NA NA 6 41 20 1 6 13
"95" 1.51870768719933 NA 0 NA 54 3 NA NA NA 7 91 40 2 6 19
"96" 0.621774421768279 0.442047415180742 0 67 76 4 1 0 0 6 31 12 1 4 18
"97" NA NA NA NA NA NA NA NA NA 5 41 20 2 3 9
"98" 1.04734900021983 0.909600888669095 0 30 47 NA 1 1 1 5 33 12 1 8 16
"99" 0.193290310855101 NA 0 57 57 NA NA NA NA 6 50 20 1 8 5
"100" 0.582041432133341 0.410225742037909 0 NA 49 2 1 1 0 7 41 20 2 9 16
"101" 0.85980306728062 0.63913811571094 0 26 26 4 1 0 0 7 43 20 2 3 16
"102" 0.209007747203241 NA 0 77 NA NA NA NA NA 4 41 20 2 10 16
"103" 1.09310293326302 0.874769115494598 1 57 57 3 1 1 0 7 91 40 2 9 6
"104" NA NA NA NA NA NA NA NA NA 4 127 60 2 1 15
"105" 1.43336994528592 NA 0 51 NA NA NA NA NA 5 33 12 1 3 11
"106" NA NA NA NA NA NA NA NA NA 3 41 20 2 9 17
"107" 1.06626324499528 0.997727188865896 0 9999 NA NA 1 1 0 3 71 30 2 2 6
"108" 0.211532735160434 0.250430161693821 0 48 47 NA 1 0 0 6 91 40 1 10 16
"109" 0.932532390027726 0.780453187716109 0 NA 26 1 1 0 0 7 111 50 1 2 6
"110" NA NA NA NA NA NA NA NA NA 6 41 20 2 3 14
"111" 1.06086477153686 1.04429976313839 0 NA 39 3 1 0 0 5 71 30 2 8 16
"112" 2.04188491926013 1.74788200361513 0 59 56 NA 1 0 0 3 71 30 1 8 17
"113" 0.0749703099833654 0.0554753754363154 0 44 58 NA 1 0 0 5 41 20 1 8 16
"114" 0.75123942825591 0.563439565556003 0 NA 62 3 1 0 0 7 50 20 1 6 18
"115" 0.118258321707418 0.0681072437122806 0 49 49 NA 1 1 0 7 60 20 2 8 18
"116" 0.626083514847699 0.572252924610232 1 100 97 NA 1 1 0 6 32 12 2 3 15
"117" 0.644859382129937 0.630356943514338 0 42 NA NA 0 NA NA 5 20 11 1 6 9
"118" 0.694228441929958 0.507525965701889 0 40 35 NA 1 0 0 7 31 12 1 8 11
"119" 1.82046303695477 1.74179398274955 0 50 87 NA 1 0 0 6 91 40 1 8 17
"120" 0.64094349639313 0.453713974532697 0 42 45 NA 1 0 0 5 33 12 1 5 16
"121" 0.558313344494553 0.405022360179826 0 44 41 NA 1 0 0 6 20 11 1 5 14
"122" 0.742775205975905 NA 0 54 NA NA NA NA NA 3 NA NA 1 11 17
"123" 1.93619262826651 NA 0 NA NA NA NA NA NA 7 111 50 1 6 18
"124" 0.06528522594049 NA 0 NA NA NA NA NA NA 6 71 30 2 8 17
"125" 0.49866206749958 0.50773574653278 NA 48 69 NA 0 NA NA 4 72 30 2 10 6
"126" 0.434841872251087 0.324880459632459 0 75 76 NA 1 1 0 6 60 20 2 3 9
"127" 0.981153997126142 0.716525223615858 0 51 9999 NA 1 0 0 7 126 60 1 8 1
"128" 0.725607876659699 0.625598339813973 0 57 48 NA 1 0 0 6 50 20 1 2 18
"129" 2.0389999598193 2.35669872212568 0 9999 75 NA 1 1 0 5 71 30 1 4 8
"130" 1.11640909440259 1.06422064388203 0 56 9999 NA 1 1 0 5 60 20 2 4 11
"131" NA 0.224186780583518 NA NA 9999 4 1 1 0 5 91 40 1 7 16
"132" NA 0.0648060643188071 NA 51 NA NA 1 1 0 6 NA NA 1 5 1
"133" 0.586197655613048 0.509239111705731 NA 9999 9999 NA 1 0 0 5 91 40 1 1 9
"134" 0.753661091725246 NA 0 NA NA NA NA NA NA 7 33 12 1 1 18
"135" 0.87156304269286 1.93691085964622 0 86 83 NA 1 1 0 7 50 20 2 3 18
"136" 0.920117696168102 1.08186081927536 0 8 55 NA 1 1 0 4 134 70 1 10 11
"137" 1.25724726891187 NA 0 NA NA NA NA NA NA 4 41 20 2 2 5
